cluster_id,cluster_size,selected_pos_in_embedding,selected_dataset_index,selected_typicality
0,1219,17957,17957,3.685114622116089
1,1073,28241,28241,3.2122631072998047
2,1159,22084,22084,3.04440975189209
3,855,16189,16189,4.066546440124512
4,1134,41838,41838,3.3702573776245117
5,584,3842,3842,2.6823294162750244
6,1251,13518,13518,2.3709774017333984
7,1042,22037,22037,3.21382474899292
8,1074,2983,2983,3.0464773178100586
9,1129,29408,29408,2.9653170108795166
10,815,33683,33683,4.0507049560546875
11,834,14492,14492,3.1709249019622803
12,825,49449,49449,3.0529425144195557
13,978,28103,28103,3.3647384643554688
14,1070,47930,47930,3.5233001708984375
15,1045,38278,38278,3.6604995727539062
16,1070,42803,42803,2.542998790740967
17,1119,13040,13040,3.187647581100464
18,1132,2369,2369,3.2193105220794678
19,733,26170,26170,2.769779920578003
20,1186,10109,10109,3.2256357669830322
21,1178,5088,5088,2.6241514682769775
22,1015,19338,19338,2.410628080368042
23,666,18582,18582,4.705868244171143
24,1132,5789,5789,2.7147810459136963
25,857,17270,17270,2.4281129837036133
26,818,9178,9178,3.0842936038970947
27,858,33471,33471,4.805230617523193
28,1159,21450,21450,2.3978869915008545
29,1011,39575,39575,3.0978403091430664
30,1183,31323,31323,3.2368271350860596
31,911,44688,44688,3.6388657093048096
32,1080,26828,26828,2.495143413543701
33,1015,24782,24782,3.371056318283081
34,1218,27615,27615,2.919177770614624
35,856,15543,15543,3.2643179893493652
36,793,28866,28866,3.5638692378997803
37,963,23158,23158,2.7333319187164307
38,1034,48484,48484,2.9509572982788086
39,1202,49864,49864,2.3897249698638916
40,1170,3643,3643,3.847768783569336
41,810,39544,39544,2.2358782291412354
42,937,2342,2342,2.6060473918914795
43,969,16188,16188,3.0083072185516357
44,997,28069,28069,2.6575958728790283
45,1006,25652,25652,9.497264862060547
46,787,18720,18720,2.8668770790100098
47,884,33462,33462,2.710376501083374
48,1092,1930,1930,3.5299394130706787
49,1072,39019,39019,3.4296481609344482
